0,西黄 琥珀 辰砂 梅冰 雄精 羚角片 明乳香 犀角片 ,355
1,白鲜皮 大豆黄卷 生苡米 土茯苓 山栀子 丹皮 金银花 连翘 地丁 木通 滑石块 甘草 ,12
1,金银花 连翘 生地 牛蒡子 知母 鲜竹叶 薄荷 绿豆衣 ,26
1,知母 鲜竹叶 薄荷 绿豆衣 金银花 连翘 生地 牛蒡子 ,26
1,连翘 知母 鲜竹叶 生地 牛蒡子 金银花 薄荷 绿豆衣 ,26
1,连翘 金银花 薄荷 生地 牛蒡子 知母 绿豆衣 鲜竹叶 ,26
1,牛蒡子 知母 金银花 连翘 生地 鲜竹叶 薄荷 绿豆衣 ,26
1,鱼腥草 黄芩 板蓝根 连翘 金银花 ,66
1,鱼腥草 连翘 金银花 黄芩 板蓝根,66
1,板蓝根 鱼腥草 黄芩 连翘 金银花 ,66
1,黄芩 板蓝根 连翘 鱼腥草 金银花 ,66
1,金银花 板蓝根 鱼腥草 黄芩 连翘 ,66
1,生石膏 木通 贝母 桑叶 连翘 牛蒡子 板蓝根 金银花 蝉蜕 麦冬 生地 黄芩 ,29
1,石膏 知母 浙贝母 板蓝根 山豆根 紫花地丁 金银花 生地 玄参 连翘 麦冬 白芍 丹皮 薄荷 甘草 鲜橄榄 ,30
1,地丁 野菊花 金银花 连翘 黑山栀 半枝莲 蒲公英 草河车 甘草 ,52
1,黄耆 当归 野菊花 金银花 蒲公英 紫花地丁 连翘 ,65
1,红藤 乳香 紫花地丁 连翘 玄胡索 没药 大黄 丹皮 金银花 枳壳 赤芍 甘草 ,70
1,栝楼仁 牛蒡子 花粉 黄芩 生栀子 连翘 皂刺 金银花 甘草 陈皮 青皮 柴胡 ,81
1,黄连 升麻 葛根 柴胡 赤芍 川芎 归尾 连翘 桔梗 黄芩 羌活 防风 金银花 甘草节 ,92
1,红藤 金银花 紫花地丁 连翘 乳香 没药 丹皮 元胡 甘草 大黄 ,99
1,人中黄 石膏 连翘 升麻 知母 玄参 牛蒡子 黄连 竹叶 赤芍 甘草 荆芥 蝉衣 ,111
1,大黄 连翘 生石膏 甘草 枳实 九菖蒲 牛蒡子 厚朴 金银花 生地 白芍 黄芩 生栀子 天花粉 麦冬 菊花 石决明 蝉蜕 白芷 细辛 玄参 黄连 青黛 玄明粉 ,118
1,金银花 黄芩 连翘 蒲公英 天花粉 赤芍 薄荷 ,131
1,金银花 连翘 天花粉 白芷 薏苡仁 赤芍 甘草 ,132
1,金银花 连翘 蒲公英 地丁 黄柏 桔梗 黄芪 乳香 没药 防风 ,133
1,连翘 金银花 蒲公英 败酱草 冬瓜子 赤芍 丹皮 川军 赤小豆 甘草节 土贝母 犀黄丸 ,136
1,板蓝根 贯众 青黛 甘草 ,138
1,连翘 山栀 黄芩 黄连 芍药 金银花 甘草 牡丹皮 ,143
1,金银花 连翘 犀角粉 射干 板蓝根 天花粉 京赤芍 粉丹皮 生山栀 焦山栀 干芦根 淡竹叶 ,145
1,金银花 连翘 马勃 射干 牛蒡子 山豆根 板蓝根 大青叶 桔梗 甘草 ,152
1,金银花 蒲公英 青陈皮 连翘 赤芍 白芷 炒山甲 炒皂刺 ,154
1,金银花 蒲公英 连翘 赤芍 白芷 青陈皮 炒山甲 炒皂刺 ,155
1,金银花 连翘 野菊花 赤芍药 黄芩 蒲公英 白芷 天花粉 木通 陈皮 甘草 炒山甲 炒皂刺 ,159
1,龙胆草 黄芩 栀仁 金银花 连翘 泽泻 木通 丹皮 六一散 大青叶 ,160
1,金银花 蒲公英 败酱草 连翘 白花蛇舌草 冬瓜仁 赤芍 大黄 桃仁 川楝子 木香 ,174
1,金银花 大青叶 败酱草 蒲公英 川楝子 生大黄 木香 冬瓜仁 桃仁 赤芍 黄芩 滑石粉 红藤 ,177
