0,陈皮 苎麻根 高良姜 粳米
1,川乌 萆薢 茴香 杜仲 川椒 当归 木瓜 柏子仁 菟丝子 地黄 川楝 泽泻 远志 川巴戟 牛膝 肉苁蓉 胡芦巴 茱萸 茯苓 蛇床子 破故纸 苍术
1,鹿茄茸 蚕蛾 鹿角胶 巨胜子 人参 哺退鸡蛋 枸杞 当归 肉苁蓉 楮实子 杜仲 牛膝 金樱子 巴戟 锁阳 葱子 韭子 故纸 熟地 鸽子蛋 何首乌 
1,何首乌 仙茅 茯苓 苍术 牛膝 
1,仙茅 茱萸 何首乌 萆薢 何首乌 破故纸 黄精 地黄 地黄 巨胜子 山药 枸杞 天门冬 麦门冬 茯苓 五味子 茴香 覆盆子 拣参 嫩鹿茸 牛膝 柏子仁 青盐 杜仲 当归 川巴戟 菟丝子 肉苁蓉 川椒 远志 锁阳 
1,车前子 青粱米 
1,车前子 粳米 
1,车前子叶 葱白 粳米 
1,车前子 羚羊角 防风 菟丝子 决明子 
1,车前子 菊花 地黄 麦门冬 
1,鲜车前叶 葱白 粳米 
1,蛇蜕 蝉蜕 羌活 当归 石决明 川芎 防风 茯苓 甘草 芍药 十 白蒺藜 苍术 十 
1,蛇蜕 蝉蜕 羌活 当归 石决明 川芎 防风 茯苓 甘草 芍药 白蒺藜 苍术 
1,茯苓 甘草 防风 石决明 川芎 羌活 当归 芍药 白蒺藜 蝉退 苍术 蛇退 
1,黄连 菊花 花椒 防风 青盐 李仁 当归 杏仁 铜绿 蕤仁 白矾 皮硝 
1,刮皮术 菊花 青盐 椒 
1,地黄 鹿茸 肉苁蓉 牛膝 桂心 蛇床子 菟丝子 远志 枣仁 
1,川椒 茯苓 川乌 茴香 苍术 甘草 熟地 山药 
1,苍术 
1,苍术 茯苓 
1,苍术 川椒 茯苓 茴香 
1,苍术 
1,苁蓉 巴戟 菊花 枸杞 
1,苁蓉 巴戟 菊花 枸杞 
1,苁蓉 巴戟 枸杞 菊花 川楝 
1,磁石 一 牛膝 黄踯躅 川芎 肉桂 芍药 黑牵牛 草乌 十 
1,磁石 牛膝 黄踯躅 川芎 肉桂 芍药 黑牵牛 草乌 
1,磁石 白术 神曲 枸杞 麦芽 当归 人参 地黄 辰砂 牛膝 茯苓 菊花 
1,磁石 硇砂 
1,沉香 黑附子 鹿茸 苁蓉 菟丝子 地黄 
1,沉香 木香 白檀 胡桃 丁香 枸杞 茴香 全蝎 茴香 川楝 葫芦巴 破故纸 川山甲 菟丝子 巨胜子 远志 韭子 莲花蕊 川心巴戟 山药 茱萸 知母 仙灵脾 青皮 陈皮 茯苓 牛膝 黄精 天门冬 麦门冬 人参 地黄 乳香 地黄 细墨 五味子 肉苁蓉 
1,楮实 桂心 牛膝 干姜 
1,柴胡 羌活 防风 地黄 芍药 甘草 
1,青盐 没石子 细辛 破故纸 地骨皮 地黄 槐角子 百药煎 
1,钟乳粉不拘多少 
1,蔓菁花 
1,破故纸 胡桃瓤 
1,破故纸 雄雀儿粪 地黄 木香 安息香 丹参 
1,黑桑椹 大豆 
1,芜菁子 
1,白瓜子 
1,地肤子1斗 地黄 
1,柏子仁 地黄 沉香 山药 石斛 石麻 覆盆子 牛膝 黄耆 蔓荆子 
1,地肤子 蓝子 白蒺藜 细辛 桂心 车前子 菟丝子 瓜子 萤火虫 黄连 茺蔚子 青葙子 大黄 决明子 
1,茴香 黑附子 巴戟天 陈皮 陈皮 破故纸 青盐 牛膝 川椒 
1,山药 牛膝 茯苓 枳实 五味子 杜仲 茱萸 巴戟 远志 地黄 肉苁蓉 菖蒲 枸杞 苍术 莲肉 
1,黄耆 芡实 白术 沙苑子 山药 茯苓 当归 陈皮 扁豆 菟丝子 
1,茴香 木香 川楝 夏 冬 枳壳 知母春秋 夏 冬 茯苓 甘草 地龙 鹿茸 川山甲 狗茎 
1,鹿角胶 杜仲 山药 茯苓 地黄 菟丝子 茱萸 五味子 牛膝 益智仁 远志 茴香 川楝 川巴戟 破故纸 胡芦巴 柏子仁 川山甲 沉香 全蝎 
1,马牙消 
1,炼成白石英 石斛 苁蓉 茯苓 泽泻 陈皮 菟丝子 
1,花粉 河南真绿豆粉 薄荷 白檀香 白石英 白硼砂 白豆蔻 玄明粉 石膏 柿霜 白粉霜 
